0,1,2,3,4,output_0,output_1,output_2,output_3,output_4,exec_time,avg_cpu_util,core_load
13,18,0,11,2,0,20,19,1,2,6618.276311,20.6,0.125
3,18,6,15,16,0,20,1,2,3,6618.276311,20.6,0.125
11,2,0,3,9,0,20,19,1,18,6618.276311,20.6,0.125
8,16,19,11,14,0,20,19,1,18,6618.276311,20.6,0.125
12,1,19,2,4,20,19,0,18,17,6618.276311,20.6,0.125
12,5,13,14,9,20,0,19,1,18,6618.276311,20.6,0.125
11,13,14,12,4,20,19,18,17,16,6618.276311,20.6,0.125
10,3,19,12,5,0,20,19,1,2,6618.276311,20.6,0.125
14,8,18,3,13,20,19,18,0,17,6618.276311,20.6,0.125
12,10,6,19,9,20,0,19,18,1,6618.276311,20.6,0.125
17,12,8,0,15,20,0,1,19,18,6618.276311,20.6,0.125
19,18,12,7,5,20,0,1,19,2,6618.276311,20.6,0.125
4,0,8,12,14,0,20,19,1,2,6618.276311,20.6,0.125
3,10,2,1,5,20,19,18,0,1,6618.276311,20.6,0.125
18,4,1,5,12,0,20,1,2,19,6618.276311,20.6,0.125
8,6,5,18,11,20,0,1,19,2,6618.276311,20.6,0.125
10,5,3,2,17,0,20,1,2,19,6618.276311,20.6,0.125
4,5,10,16,13,0,20,19,1,2,6618.276311,20.6,0.125
13,7,8,14,0,0,20,1,2,19,6618.276311,20.6,0.125
14,8,13,15,16,0,1,20,19,18,6618.276311,20.6,0.125
9,15,7,17,2,20,0,19,1,2,6618.276311,20.6,0.125
17,5,7,6,11,0,20,1,2,19,6618.276311,20.6,0.125
6,0,2,3,10,0,20,1,2,3,6618.276311,20.6,0.125
17,2,12,1,6,20,0,19,18,17,6618.276311,20.6,0.125
18,14,5,13,8,20,0,1,19,18,6618.276311,20.6,0.125
13,17,2,5,15,0,20,19,1,18,6618.276311,20.6,0.125
16,14,8,2,5,20,0,19,18,17,6618.276311,20.6,0.125
2,15,8,1,12,0,20,1,2,19,6618.276311,20.6,0.125
9,11,3,18,5,20,0,1,19,2,6618.276311,20.6,0.125
6,17,15,4,13,20,0,1,19,2,6618.276311,20.6,0.125
7,15,8,14,4,20,19,0,1,18,6618.276311,20.6,0.125
9,15,18,14,10,0,1,20,19,2,6618.276311,20.6,0.125
19,1,18,4,0,0,20,1,2,19,6618.276311,20.6,0.125
