0,1,2,3,4,output_0,output_1,output_2,output_3,output_4,exec_time(s),avg_cpu_util(%),core_load(%)
14,13,9,0,10,0,20,1,2,3,43704.78933,17.62,0.0625
18,1,9,11,10,0,1,20,19,18,43704.78933,17.62,0.0625
17,6,9,14,15,20,19,18,17,0,43704.78933,17.62,0.0625
14,17,8,9,16,0,1,20,2,3,43704.78933,17.62,0.0625
4,10,17,12,9,0,1,20,2,19,43704.78933,17.62,0.0625
11,0,15,7,18,20,19,18,17,16,43704.78933,17.62,0.0625
1,14,11,10,6,20,0,19,1,2,43704.78933,17.62,0.0625
5,7,19,3,4,0,20,19,1,2,43704.78933,17.62,0.0625
2,6,13,10,5,0,1,2,3,4,43704.78933,17.62,0.0625
12,8,17,2,19,0,1,20,19,18,43704.78933,17.62,0.0625
13,12,9,15,10,20,19,18,17,16,43704.78933,17.62,0.0625
9,5,19,1,6,20,0,1,2,19,43704.78933,17.62,0.0625
15,13,0,12,7,20,19,18,0,17,43704.78933,17.62,0.0625
10,18,13,16,4,0,20,1,2,19,43704.78933,17.62,0.0625
17,14,11,19,4,20,0,19,1,2,43704.78933,17.62,0.0625
1,0,10,5,16,20,19,0,1,2,43704.78933,17.62,0.0625
2,3,14,1,17,0,1,20,19,2,43704.78933,17.62,0.0625
15,13,6,19,9,20,19,18,17,16,43704.78933,17.62,0.0625
13,11,16,6,18,0,20,19,18,17,43704.78933,17.62,0.0625
1,3,2,8,14,0,20,1,19,18,43704.78933,17.62,0.0625
5,3,4,0,17,0,1,2,20,19,43704.78933,17.62,0.0625
12,7,6,3,1,20,19,18,0,1,43704.78933,17.62,0.0625
13,8,19,10,15,20,19,18,17,16,43704.78933,17.62,0.0625
17,7,8,11,13,0,20,19,1,2,43704.78933,17.62,0.0625
9,7,15,11,6,0,20,19,1,2,43704.78933,17.62,0.0625
16,4,10,13,19,0,20,19,1,2,43704.78933,17.62,0.0625
10,11,0,8,16,20,19,0,1,18,43704.78933,17.62,0.0625
2,4,1,8,18,0,1,2,3,4,43704.78933,17.62,0.0625
18,6,1,9,2,20,19,0,18,17,43704.78933,17.62,0.0625
13,18,16,17,1,20,0,19,18,17,43704.78933,17.62,0.0625
19,5,7,6,0,20,19,0,1,2,43704.78933,17.62,0.0625
7,11,6,3,2,0,20,1,2,3,43704.78933,17.62,0.0625
2,14,17,10,1,20,19,0,1,2,43704.78933,17.62,0.0625
16,11,7,0,8,20,19,0,1,18,43704.78933,17.62,0.0625
17,18,19,6,5,0,1,2,20,19,43704.78933,17.62,0.0625
11,1,18,3,4,20,19,0,1,2,43704.78933,17.62,0.0625
15,9,10,12,8,0,20,19,1,2,43704.78933,17.62,0.0625
6,8,16,13,5,20,0,1,19,18,43704.78933,17.62,0.0625
9,2,10,1,3,0,20,19,1,2,43704.78933,17.62,0.0625
2,4,18,3,15,0,1,20,2,3,43704.78933,17.62,0.0625
16,10,1,8,4,20,0,1,2,19,43704.78933,17.62,0.0625
12,9,13,0,2,0,20,19,1,2,43704.78933,17.62,0.0625
12,6,1,13,0,0,1,20,19,18,43704.78933,17.62,0.0625
16,19,17,1,12,0,20,1,2,3,43704.78933,17.62,0.0625
17,14,1,7,8,20,0,1,19,18,43704.78933,17.62,0.0625
0,11,17,13,12,0,1,2,20,3,43704.78933,17.62,0.0625
6,8,2,10,9,20,19,18,0,1,43704.78933,17.62,0.0625
7,0,16,19,4,0,1,2,3,20,43704.78933,17.62,0.0625
7,3,5,15,2,20,19,0,1,2,43704.78933,17.62,0.0625
7,14,11,18,2,0,1,20,2,3,43704.78933,17.62,0.0625
7,1,17,15,3,0,1,2,3,20,43704.78933,17.62,0.0625
4,16,3,17,14,20,0,1,19,18,43704.78933,17.62,0.0625
6,9,2,18,11,0,20,1,2,3,43704.78933,17.62,0.0625
14,18,9,3,5,20,19,18,0,1,43704.78933,17.62,0.0625
15,18,12,5,4,0,20,1,2,19,43704.78933,17.62,0.0625
13,16,17,18,0,0,1,2,3,20,43704.78933,17.62,0.0625
19,7,11,0,13,0,1,20,19,18,43704.78933,17.62,0.0625
6,14,9,0,19,0,20,1,2,19,43704.78933,17.62,0.0625
17,7,1,5,2,0,20,1,2,19,43704.78933,17.62,0.0625
15,11,4,2,16,0,20,1,2,19,43704.78933,17.62,0.0625
11,7,15,5,19,20,0,1,2,19,43704.78933,17.62,0.0625
16,15,7,13,5,20,0,19,18,17,43704.78933,17.62,0.0625
17,1,19,5,18,20,19,0,18,1,43704.78933,17.62,0.0625
13,14,17,15,8,20,19,18,17,16,43704.78933,17.62,0.0625
14,12,10,18,8,20,19,18,17,16,43704.78933,17.62,0.0625
2,3,8,4,16,0,20,1,2,3,43704.78933,17.62,0.0625
3,18,11,9,15,20,0,19,18,1,43704.78933,17.62,0.0625
9,0,3,14,18,20,0,19,18,1,43704.78933,17.62,0.0625
8,14,5,4,0,0,20,19,1,2,43704.78933,17.62,0.0625
8,1,10,3,6,0,20,1,2,19,43704.78933,17.62,0.0625
18,0,16,1,7,20,19,18,17,0,43704.78933,17.62,0.0625
18,7,8,1,2,20,19,18,17,16,43704.78933,17.62,0.0625
2,16,19,17,7,20,19,0,1,2,43704.78933,17.62,0.0625
10,11,1,18,19,20,0,19,1,18,43704.78933,17.62,0.0625
3,16,7,18,5,20,0,1,2,3,43704.78933,17.62,0.0625
12,16,3,9,0,0,20,19,18,1,43704.78933,17.62,0.0625
6,8,10,15,2,0,1,20,2,3,43704.78933,17.62,0.0625
0,7,9,2,6,20,0,19,18,1,43704.78933,17.62,0.0625
18,1,16,13,4,0,1,20,2,3,43704.78933,17.62,0.0625
4,2,5,18,19,20,0,19,18,1,43704.78933,17.62,0.0625
18,9,10,2,17,20,19,0,18,1,43704.78933,17.62,0.0625
18,6,15,0,5,0,1,2,20,19,43704.78933,17.62,0.0625
4,14,10,12,8,20,0,19,18,17,43704.78933,17.62,0.0625
0,1,7,15,16,20,19,18,0,1,43704.78933,17.62,0.0625
14,4,13,19,11,20,19,18,17,16,43704.78933,17.62,0.0625
16,2,5,3,19,0,20,1,2,19,43704.78933,17.62,0.0625
12,7,4,0,19,20,19,18,17,16,43704.78933,17.62,0.0625
16,2,19,10,1,0,20,1,2,19,43704.78933,17.62,0.0625
5,8,9,17,7,20,19,18,17,16,43704.78933,17.62,0.0625
16,0,17,3,11,0,1,20,2,19,43704.78933,17.62,0.0625
5,2,18,4,13,0,20,1,19,18,43704.78933,17.62,0.0625
1,18,3,5,13,20,0,1,19,18,43704.78933,17.62,0.0625
9,14,4,15,3,0,20,19,1,2,43704.78933,17.62,0.0625
4,1,6,2,18,0,20,1,2,19,43704.78933,17.62,0.0625
4,1,8,7,9,0,1,20,19,2,43704.78933,17.62,0.0625
17,16,12,2,3,20,0,1,19,18,43704.78933,17.62,0.0625
5,9,13,8,10,0,1,2,3,4,43704.78933,17.62,0.0625
6,10,3,1,19,20,0,19,18,17,43704.78933,17.62,0.0625
7,18,15,0,10,0,20,19,1,2,43704.78933,17.62,0.0625
8,9,16,0,17,20,19,0,1,2,43704.78933,17.62,0.0625
9,2,11,4,13,20,0,19,1,2,43704.78933,17.62,0.0625
0,10,6,13,7,0,20,19,1,18,43704.78933,17.62,0.0625
19,0,2,11,9,0,20,1,2,3,43704.78933,17.62,0.0625
18,0,15,8,17,20,19,0,1,2,43704.78933,17.62,0.0625
3,19,15,9,11,20,0,19,18,17,43704.78933,17.62,0.0625
8,16,11,18,13,20,19,0,1,18,43704.78933,17.62,0.0625
8,9,0,15,7,20,0,19,1,18,43704.78933,17.62,0.0625
6,18,13,7,3,20,19,0,1,18,43704.78933,17.62,0.0625
2,12,15,17,1,20,0,19,18,17,43704.78933,17.62,0.0625
15,14,9,1,16,20,0,19,18,1,43704.78933,17.62,0.0625
15,10,14,3,4,0,1,2,3,20,43704.78933,17.62,0.0625
6,2,0,3,12,0,20,1,2,19,43704.78933,17.62,0.0625
9,12,15,4,14,0,20,19,1,2,43704.78933,17.62,0.0625
4,13,15,8,14,0,20,19,18,1,43704.78933,17.62,0.0625
7,3,1,14,0,20,19,0,1,2,43704.78933,17.62,0.0625
14,4,18,5,10,20,19,0,18,1,43704.78933,17.62,0.0625
5,19,14,7,18,0,20,19,1,18,43704.78933,17.62,0.0625
14,3,17,6,2,0,20,1,19,2,43704.78933,17.62,0.0625
9,14,18,1,7,0,1,2,3,4,43704.78933,17.62,0.0625
19,0,13,9,12,0,1,20,19,18,43704.78933,17.62,0.0625
12,15,8,4,17,0,20,1,2,3,43704.78933,17.62,0.0625
1,19,12,15,16,20,19,0,18,17,43704.78933,17.62,0.0625
