0,1,2,3,4,output_0,output_1,output_2,output_3,output_4,exec_time(s),avg_cpu_util(%),core_load(%)
15,2,0,11,17,0,3,1,19,8,1623746.343,16.98,0.03125
15,9,12,10,17,0,2,5,1,3,1623746.343,16.98,0.03125
19,8,14,10,16,14,8,3,20,0,1623746.343,16.98,0.03125
18,19,6,7,10,0,1,2,3,7,1623746.343,16.98,0.03125
11,7,10,15,4,14,9,3,20,0,1623746.343,16.98,0.03125
19,8,16,18,2,0,1,2,3,4,1623746.343,16.98,0.03125
15,1,8,19,17,14,9,3,6,19,1623746.343,16.98,0.03125
0,3,15,7,2,0,3,4,1,13,1623746.343,16.98,0.03125
6,9,3,18,19,0,13,17,3,1,1623746.343,16.98,0.03125
1,6,2,15,3,14,8,3,20,0,1623746.343,16.98,0.03125
10,8,13,3,7,0,13,9,3,17,1623746.343,16.98,0.03125
6,12,9,13,1,0,3,9,19,17,1623746.343,16.98,0.03125
8,16,1,2,17,0,13,2,3,8,1623746.343,16.98,0.03125
6,13,12,15,9,0,13,17,3,8,1623746.343,16.98,0.03125
5,19,7,9,12,0,1,8,19,17,1623746.343,16.98,0.03125
14,7,0,11,19,0,6,1,2,8,1623746.343,16.98,0.03125
7,15,18,11,6,0,3,2,4,8,1623746.343,16.98,0.03125
7,0,16,10,15,0,7,2,6,19,1623746.343,16.98,0.03125
19,12,10,16,9,15,9,3,20,5,1623746.343,16.98,0.03125
2,3,12,7,4,0,14,3,20,9,1623746.343,16.98,0.03125
18,16,15,11,14,14,9,1,20,0,1623746.343,16.98,0.03125
10,19,16,15,5,0,6,3,2,8,1623746.343,16.98,0.03125
12,13,6,1,4,1,3,4,13,8,1623746.343,16.98,0.03125
12,17,0,9,19,0,13,2,3,7,1623746.343,16.98,0.03125
5,14,7,17,11,15,9,3,20,4,1623746.343,16.98,0.03125
1,12,10,18,16,0,3,1,19,8,1623746.343,16.98,0.03125
17,5,11,1,0,0,1,8,2,5,1623746.343,16.98,0.03125
17,5,6,18,19,0,3,4,13,9,1623746.343,16.98,0.03125
9,18,0,3,12,0,6,3,13,8,1623746.343,16.98,0.03125
2,19,15,12,5,14,9,3,6,19,1623746.343,16.98,0.03125
16,13,19,14,8,0,3,9,20,18,1623746.343,16.98,0.03125
3,17,0,9,8,15,9,1,20,4,1623746.343,16.98,0.03125
15,13,9,2,4,0,1,2,3,4,1623746.343,16.98,0.03125
13,4,3,19,17,14,6,7,20,3,1623746.343,16.98,0.03125
1,4,10,17,5,0,6,3,20,17,1623746.343,16.98,0.03125
17,19,10,0,7,0,13,3,4,8,1623746.343,16.98,0.03125
13,3,14,17,11,14,8,2,20,0,1623746.343,16.98,0.03125
5,15,14,7,0,0,9,1,19,17,1623746.343,16.98,0.03125
13,8,16,6,11,0,2,5,1,3,1623746.343,16.98,0.03125
16,3,2,13,5,0,7,1,3,19,1623746.343,16.98,0.03125
